time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.149274,0.2579641,5.597565,OnTheLine,0,0,True,8
0.2612852,1.163907,5.25885,OnTheLine,0,0,True,8
0.4146796,3.480099,4.927917,OnTheLine,0,0,True,8
0.5256141,5.870788,4.865204,OnTheLine,0,0,True,8
0.6371043,8.751947,5.044312,OnTheLine,0,0,True,8
0.7482865,12.05195,6.346771,CloseEnough,0,0,True,8
0.8595332,15.65439,10.40723,CloseEnough,0,0,True,8
0.9703008,19.50731,13.27847,CloseEnough,0,0,True,8
1.081891,23.421,16.59805,CloseEnough,24,0,True,8
1.193181,27.3252,20.65634,CloseEnough,24,0,True,8
1.304518,31.08908,24.10052,CloseEnough,24,0,True,8
1.415937,34.57616,28.26102,CloseEnough,24,0,True,8
1.569377,38.7285,34.2944,CloseEnough,24,0,True,8
1.680359,41.20225,38.55719,OnTheLine,24,0,True,8
1.792305,43.11045,39.10175,OnTheLine,24,0,True,8
1.944228,44.67839,36.93527,CloseEnough,24,0,True,8
2.05676,44.99999,36.42371,CloseEnough,24,0,True,8
2.168174,44.65199,36.12546,CloseEnough,48,0,True,8
2.279728,43.61353,35.74149,CloseEnough,48,0,True,8
2.391171,41.95212,34.65939,CloseEnough,48,0,True,8
2.525506,38.88914,32.36536,OnTheLine,48,0,True,8
2.637434,36.28897,30.28275,OnTheLine,48,0,True,8
2.792634,31.54305,26.50284,OnTheLine,48,0,True,8
2.946568,26.30787,22.94333,OnTheLine,48,0,True,8
3.058597,22.35261,20.53076,OnTheLine,48,0,True,8
3.171359,18.48249,18.54025,OnTheLine,88,0,True,8
3.281654,14.68251,16.68903,OnTheLine,88,0,True,8
3.393705,11.11849,15.0163,OnTheLine,88,0,True,8
3.504638,7.91669,13.93274,CloseEnough,88,0,True,8
3.616207,5.148657,13.0488,CloseEnough,88,0,True,8
3.728472,2.913973,12.23889,CloseEnough,88,0,True,8
3.838597,1.291095,11.87088,CloseEnough,88,0,True,8
3.950248,0.3059368,12.1774,CloseEnough,88,0,True,8
4.050455,0.001064837,12.01697,NotOnTheLine,88,0,True,8
4.159189,0.292692,11.73691,CloseEnough,112,0,True,8
4.270204,1.279837,11.77554,CloseEnough,112,0,True,8
4.381946,2.901009,11.63327,CloseEnough,112,0,True,8
4.482192,5.106993,11.62277,CloseEnough,112,0,True,8
4.590498,7.473382,11.54456,OnTheLine,112,0,True,8
4.690979,10.62365,11.353,OnTheLine,112,0,True,8
4.798821,13.68729,11.79419,OnTheLine,112,0,True,8
4.951484,18.8253,15.35416,OnTheLine,112,0,True,8
5.062238,22.77622,18.57626,OnTheLine,112,0,True,8
5.173164,26.64401,22.66257,CloseEnough,136,0,True,8
5.28499,30.40042,26.8855,OnTheLine,136,0,True,8
5.394789,33.9354,31.79999,OnTheLine,136,0,True,8
5.547638,38.21941,36.89816,OnTheLine,136,0,True,8
5.659217,40.76084,38.11957,OnTheLine,136,0,True,8
5.772745,42.81549,36.90195,OnTheLine,136,0,True,8
5.884474,44.19663,36.39896,CloseEnough,136,0,True,8
6.006985,44.933,36.00867,CloseEnough,136,0,True,8
6.118344,44.8911,35.52399,CloseEnough,136,0,True,8
6.229427,44.16469,35.19034,CloseEnough,160,0,True,8
6.342065,42.77372,37.19656,CloseEnough,160,0,True,8
6.452058,40.76552,40.15237,OnTheLine,160,0,True,8
6.56366,38.20935,41.03397,OnTheLine,160,0,True,8
6.675558,35.16538,38.11755,OnTheLine,160,0,True,8
6.786783,31.69232,34.2283,OnTheLine,160,0,True,8
6.898376,27.99275,31.63373,OnTheLine,160,0,True,8
7.009886,24.13813,28.78506,OnTheLine,160,0,True,8
7.120697,20.19427,25.54459,CloseEnough,160,0,True,8
7.232798,16.28679,22.23193,CloseEnough,184,0,True,8
7.343985,12.67184,19.22293,CloseEnough,184,0,True,8
7.455481,9.298656,16.76285,CloseEnough,184,0,True,8
7.607474,5.27253,14.90173,CloseEnough,184,0,True,8
7.761315,2.374875,13.65479,CloseEnough,184,0,True,8
7.861488,0.9239861,13.02307,NotOnTheLine,184,0,True,8
7.970051,0.2035877,12.83075,NotOnTheLine,184,0,True,8
8.082234,0.01835302,12.59097,NotOnTheLine,184,0,True,8
8.193614,0.5228471,12.30746,CloseEnough,208,0,True,8
8.30479,1.697934,12.14587,CloseEnough,208,0,True,8
8.416503,3.526087,12.20087,CloseEnough,208,0,True,8
8.527616,5.90014,12.61319,CloseEnough,208,0,True,8
8.627933,8.801175,14.46436,OnTheLine,208,0,True,8
8.729527,11.44162,16.92688,OnTheLine,208,0,True,8
8.873693,16.54352,21.76053,OnTheLine,208,0,True,8
8.973927,19.98013,25.19064,OnTheLine,208,0,True,8
9.083359,23.44718,29.25607,OnTheLine,208,0,True,8
9.196141,27.41862,33.95596,OnTheLine,248,0,True,8
9.307015,31.14422,37.95172,OnTheLine,248,0,True,8
9.418681,34.63816,40.88419,OnTheLine,248,0,True,8
9.52986,37.7378,41.75247,OnTheLine,248,0,True,8
9.641632,40.40856,40.97165,OnTheLine,248,0,True,8
