time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.1125821,0.08735552,-1.200684,OnTheLine,0,0,True,8
0.2243183,0.7837616,-1.124451,OnTheLine,0,0,True,8
0.3359407,2.138812,-0.8829956,OnTheLine,0,0,True,8
0.4467048,4.117886,-0.02478027,OnTheLine,0,0,True,8
0.5586191,6.65996,3.643646,OnTheLine,0,0,True,8
0.669969,9.691757,8.702393,OnTheLine,0,0,True,8
0.7810643,13.11852,12.43127,OnTheLine,0,0,True,8
0.9340528,18.21267,19.92923,OnTheLine,0,0,True,8
1.046168,22.1823,25.58905,OnTheLine,0,0,True,8
1.15772,26.06483,32.18817,OnTheLine,40,0,True,8
1.268759,29.89049,38.72845,OnTheLine,40,0,True,8
1.380136,33.4967,42.66687,CloseEnough,40,0,True,8
1.491445,36.75833,44.0451,CloseEnough,40,0,True,8
1.602852,39.55544,44.84894,OnTheLine,40,0,True,8
1.714254,41.84898,44.72739,OnTheLine,40,0,True,8
1.826058,43.55002,43.9364,OnTheLine,40,0,True,8
1.937198,44.61332,43.88782,OnTheLine,40,0,True,8
2.048457,44.99859,43.44476,OnTheLine,40,0,True,8
2.159685,44.68808,41.84125,OnTheLine,80,0,True,8
2.271609,43.72578,40.24011,OnTheLine,80,0,True,8
2.382309,42.09706,38.31201,OnTheLine,80,0,True,8
2.535772,38.91531,34.62259,OnTheLine,80,0,True,8
2.647737,35.97838,31.97659,OnTheLine,80,0,True,8
2.758423,32.62489,27.95135,OnTheLine,80,0,True,8
2.87008,28.97649,22.61429,OnTheLine,80,0,True,8
3.02205,23.55977,17.10754,OnTheLine,80,0,True,8
3.1345,19.7271,13.49203,OnTheLine,120,0,True,8
3.245851,15.86151,10.96414,OnTheLine,120,0,True,8
3.356784,12.24877,8.099426,OnTheLine,120,0,True,8
3.468574,8.914388,6.373993,OnTheLine,120,0,True,8
3.579896,5.99414,4.893524,OnTheLine,120,0,True,8
3.690922,3.576915,2.509705,OnTheLine,120,0,True,8
3.802614,1.751094,1.748169,OnTheLine,120,0,True,8
3.914201,0.5567663,0.3556824,OnTheLine,120,0,True,8
4.025458,0.02513766,-0.717865,OnTheLine,120,0,True,8
4.137691,0.1816915,-1.093933,OnTheLine,160,0,True,8
4.248352,1.048418,-1.504974,OnTheLine,160,0,True,8
4.359143,2.522176,-2.237366,OnTheLine,160,0,True,8
4.471019,4.613925,-3.999847,CloseEnough,160,0,True,8
