time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.11214,0.08687675,4.089966,OnTheLine,0,0,False,8
0.2648385,1.22615,5.00766,OnTheLine,0,0,False,8
0.4173823,3.591377,5.604584,OnTheLine,0,0,False,8
0.5714345,6.970611,6.07019,OnTheLine,0,0,False,8
0.682867,10.05941,6.765656,OnTheLine,0,0,False,8
0.7940536,13.51259,7.510559,CloseEnough,0,0,False,8
0.9063673,17.2481,8.397552,CloseEnough,0,0,False,8
1.017176,21.11575,9.268311,NotOnTheLine,0,0,False,8
1.170538,26.60433,11.75647,NotOnTheLine,0,0,False,8
1.294133,30.37471,14.53882,NotOnTheLine,0,0,False,8
1.435909,35.48632,19.38715,NotOnTheLine,0,0,False,8
1.586753,39.20281,25.36942,NotOnTheLine,0,0,False,8
1.728498,42.27902,29.56274,NotOnTheLine,0,0,False,8
1.879455,44.16512,31.54044,NotOnTheLine,0,0,False,8
2.031811,44.98775,34.02225,CloseEnough,0,0,False,8
2.173765,44.53679,37.67056,CloseEnough,24,0,False,8
2.283024,43.57955,40.26312,OnTheLine,24,0,False,8
2.394773,41.88607,43.89673,OnTheLine,24,0,False,8
2.536283,38.62548,47.59256,CloseEnough,24,0,False,8
2.645048,36.03148,47.33954,CloseEnough,24,0,False,8
2.798874,31.32586,45.23166,NotOnTheLine,24,0,False,8
2.911032,27.57866,43.69296,NotOnTheLine,24,0,False,8
3.022102,23.66551,39.57263,NotOnTheLine,24,0,False,8
3.174861,18.31763,35.88586,NotOnTheLine,24,0,False,8
3.287157,14.52544,33.90036,NotOnTheLine,24,0,False,8
3.398114,10.96741,30.4491,NotOnTheLine,24,0,False,8
3.51033,7.77419,27.7782,NotOnTheLine,24,0,False,8
3.621262,5.047907,24.4967,NotOnTheLine,24,0,False,8
3.732847,2.836195,21.07458,NotOnTheLine,24,0,False,8
3.844337,1.235731,18.81039,NotOnTheLine,24,0,False,8
3.955065,0.2794795,16.32269,NotOnTheLine,24,0,False,8
4.089249,0.0542973,13.26944,NotOnTheLine,24,0,False,8
4.244831,0.9767841,11.69016,CloseEnough,24,0,False,8
4.345255,2.472966,11.68106,CloseEnough,24,0,False,8
4.454592,4.284643,13.37427,CloseEnough,24,0,False,8
4.596657,7.966905,17.51608,CloseEnough,24,0,False,8
4.747186,12.12934,21.7341,CloseEnough,24,0,False,8
4.859187,15.64752,24.62134,CloseEnough,24,0,False,8
4.970567,19.53403,27.02335,CloseEnough,24,0,False,8
5.082317,23.45787,28.96259,OnTheLine,24,0,False,8
5.192924,27.34974,31.58087,OnTheLine,64,0,False,8
5.345419,32.3964,35.84238,OnTheLine,64,0,False,8
5.501501,36.89998,41.62247,OnTheLine,64,0,False,8
5.613688,39.77741,44.26236,OnTheLine,64,0,False,8
5.724739,42.03871,45.65158,OnTheLine,64,0,False,8
5.835994,43.6767,47.65683,OnTheLine,64,0,False,8
5.947546,44.67742,48.08243,OnTheLine,64,0,False,8
6.060311,44.99966,47.64755,OnTheLine,64,0,False,8
6.170389,44.63682,46.53674,OnTheLine,64,0,False,8
6.281664,43.59172,43.56738,OnTheLine,104,0,False,8
6.393908,41.90173,39.70786,OnTheLine,104,0,False,8
6.504699,39.63951,36.82236,OnTheLine,104,0,False,8
6.616217,36.8161,33.84937,OnTheLine,104,0,False,8
6.728326,33.59849,31.5105,OnTheLine,104,0,False,8
6.838976,30.01149,28.93561,OnTheLine,104,0,False,8
6.950972,26.20302,25.63348,OnTheLine,104,0,False,8
