time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.1108455,0.08457944,2.765808,OnTheLine,0,0,False,8
0.2215088,0.7709004,2.645996,OnTheLine,0,0,False,8
0.3334766,2.102519,2.694031,OnTheLine,0,0,False,8
0.4447917,4.063504,2.564331,OnTheLine,0,0,False,8
0.5552218,6.567564,2.602631,OnTheLine,0,0,False,8
0.6664636,9.582015,2.636688,CloseEnough,0,0,False,8
0.7773294,12.97798,2.591492,CloseEnough,0,0,False,8
0.8889835,16.66198,2.619415,NotOnTheLine,0,0,False,8
0.9997029,20.5139,2.751465,NotOnTheLine,0,0,False,8
1.110523,24.43713,2.93219,NotOnTheLine,0,0,False,8
1.222533,28.29987,3.115753,NotOnTheLine,0,0,False,8
1.332715,31.98053,3.402802,NotOnTheLine,0,0,False,8
1.445354,35.39804,3.314911,NotOnTheLine,0,0,False,8
1.554764,38.38208,3.007874,NotOnTheLine,0,0,False,8
1.666391,40.9174,2.740112,NotOnTheLine,0,0,False,8
1.777561,42.88645,2.614532,NotOnTheLine,0,0,False,8
1.888337,44.2263,2.654022,NotOnTheLine,0,0,False,8
1.999495,44.91348,2.617828,NotOnTheLine,0,0,False,8
2.110509,44.91604,2.557709,NotOnTheLine,0,0,False,8
2.221932,44.23888,2.576385,NotOnTheLine,0,0,False,8
2.332373,42.88803,2.611603,NotOnTheLine,0,0,False,8
2.485802,40.07662,2.581696,NotOnTheLine,0,0,False,8
2.596609,37.35939,2.581909,NotOnTheLine,0,0,False,8
2.708424,34.18937,2.576935,NotOnTheLine,0,0,False,8
2.819219,30.68004,2.556763,NotOnTheLine,0,0,False,8
2.930587,26.89171,2.544159,NotOnTheLine,0,0,False,8
3.041625,23.01236,2.547485,NotOnTheLine,0,0,False,8
3.152386,19.09096,2.839203,NotOnTheLine,0,0,False,8
3.264021,15.26828,4.711334,CloseEnough,0,0,False,8
3.374986,11.68653,7.791138,OnTheLine,0,0,False,8
3.486376,8.415596,12.48346,OnTheLine,0,0,False,8
3.59706,5.587804,17.35678,CloseEnough,0,0,False,8
3.708177,3.277606,22.00812,NotOnTheLine,0,0,False,8
3.819119,1.532133,24.59799,NotOnTheLine,0,0,False,8
3.930614,0.4332559,27.05643,NotOnTheLine,0,0,False,8
4.041348,0.005431473,29.86465,NotOnTheLine,0,0,False,8
4.15328,0.2613692,34.1037,NotOnTheLine,0,0,False,8
4.263934,1.195147,39.34982,NotOnTheLine,0,0,False,8
4.375233,2.772655,43.57159,NotOnTheLine,0,0,False,8
4.485802,4.962451,45.41217,NotOnTheLine,0,0,False,8
4.597356,7.664754,44.92603,NotOnTheLine,0,0,False,8
4.708841,10.82746,44.14572,NotOnTheLine,0,0,False,8
4.81998,14.36524,43.79614,NotOnTheLine,0,0,False,8
4.930347,18.11356,43.64688,NotOnTheLine,0,0,False,8
5.042268,22.01435,43.18411,NotOnTheLine,0,0,False,8
5.1527,25.9281,42.56012,NotOnTheLine,0,0,False,8
5.264397,29.73976,41.88312,NotOnTheLine,0,0,False,8
5.375751,33.33191,41.15543,CloseEnough,0,0,False,8
5.485914,36.63771,40.276,OnTheLine,0,0,False,8
5.597385,39.41273,40.13049,OnTheLine,0,0,False,8
5.708818,41.73594,40.49606,OnTheLine,0,0,False,8
5.819607,43.47186,40.94568,OnTheLine,0,0,False,8
5.931006,44.57725,41.65594,OnTheLine,0,0,False,8
6.041488,44.99529,41.6011,OnTheLine,0,0,False,8
6.155749,44.73638,41.04453,OnTheLine,40,0,False,8
6.266865,43.76845,40.31747,OnTheLine,40,0,False,8
