time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.1108174,0.08584142,-1.93045,OnTheLine,0,0,True,8
0.2220458,0.7662575,-1.975159,OnTheLine,0,0,True,8
0.3335817,2.105541,-1.878296,OnTheLine,0,0,True,8
0.4441141,4.083563,-1.86142,OnTheLine,0,0,True,8
0.5553987,6.590535,-1.779572,CloseEnough,0,0,True,8
0.6667944,9.593078,-0.9424133,CloseEnough,0,0,True,8
0.7779606,12.99004,1.403259,NotOnTheLine,0,0,True,8
0.9304941,18.08763,5.677673,NotOnTheLine,0,0,True,8
1.041803,22.01385,8.744629,NotOnTheLine,0,0,True,8
1.153037,25.95679,13.03665,NotOnTheLine,0,0,True,8
1.264207,29.74324,17.46231,NotOnTheLine,0,0,True,8
1.375489,33.34033,22.41864,NotOnTheLine,0,0,True,8
1.528676,37.69589,28.92984,CloseEnough,0,0,True,8
1.680496,41.26427,37.2496,CloseEnough,0,0,True,8
1.780966,43.09665,42.46182,OnTheLine,0,0,True,8
1.930401,44.58518,46.64377,OnTheLine,0,0,True,8
2.083422,44.97908,49.52322,OnTheLine,0,0,True,8
2.186885,44.54128,51.31128,CloseEnough,40,0,True,8
2.287116,43.50283,50.68515,CloseEnough,40,0,True,8
2.431282,40.98129,48.17834,CloseEnough,40,0,True,8
2.541101,38.76667,47.61432,CloseEnough,40,0,True,8
2.653312,35.81265,44.27591,CloseEnough,40,0,True,8
2.805225,31.14096,40.12653,CloseEnough,40,0,True,8
2.958458,25.95111,37.25797,NotOnTheLine,40,0,True,8
3.110871,20.56729,33.27414,NotOnTheLine,40,0,True,8
3.263931,15.23354,28.83578,NotOnTheLine,40,0,True,8
3.416547,10.35592,25.04147,NotOnTheLine,40,0,True,8
3.517081,7.2918,22.38544,NotOnTheLine,40,0,True,8
3.624875,4.964002,21.07666,NotOnTheLine,40,0,True,8
3.736683,2.770239,18.95239,NotOnTheLine,40,0,True,8
3.847728,1.184391,16.31268,NotOnTheLine,40,0,True,8
3.959161,0.2581251,14.05911,NotOnTheLine,40,0,True,8
4.070259,0.005836487,12.36835,NotOnTheLine,40,0,True,8
4.211109,0.7669374,10.57529,CloseEnough,64,0,True,8
4.320313,1.907552,9.352417,CloseEnough,64,0,True,8
4.472168,4.714548,7.750336,OnTheLine,64,0,True,8
4.583964,7.317274,6.424377,OnTheLine,64,0,True,8
4.695306,10.42458,5.496674,OnTheLine,64,0,True,8
4.795547,13.91992,5.047699,CloseEnough,64,0,True,8
4.903147,17.15602,6.037537,CloseEnough,64,0,True,8
5.003961,21.0592,8.416473,NotOnTheLine,64,0,True,8
5.106561,24.65735,11.19641,NotOnTheLine,64,0,True,8
5.208461,28.20066,13.97757,NotOnTheLine,64,0,True,8
5.318545,31.49923,16.54538,NotOnTheLine,64,0,True,8
5.459768,36.19336,20.94366,NotOnTheLine,64,0,True,8
5.573144,38.75433,24.50827,NotOnTheLine,64,0,True,8
5.68493,41.29134,28.87756,NotOnTheLine,64,0,True,8
5.806542,43.15066,34.0036,CloseEnough,64,0,True,8
5.917861,44.47295,38.69992,CloseEnough,64,0,True,8
6.070435,44.99212,43.60989,OnTheLine,64,0,True,8
6.18124,44.55761,46.62173,OnTheLine,64,0,True,8
6.293166,43.45269,49.43442,OnTheLine,104,0,True,8
6.404272,41.70405,52.41992,CloseEnough,104,0,True,8
6.515275,39.3883,51.23682,NotOnTheLine,104,0,True,8
6.615294,36.54266,47.48584,NotOnTheLine,104,0,True,8
6.725086,33.72683,45.2536,NotOnTheLine,104,0,True,8
6.875501,28.67185,40.66208,NotOnTheLine,104,0,True,8
6.987113,24.92009,36.96509,NotOnTheLine,104,0,True,8
7.139601,19.5581,30.61978,NotOnTheLine,104,0,True,8
7.292451,14.33811,25.13177,NotOnTheLine,104,0,True,8
7.445324,9.57293,20.27579,NotOnTheLine,104,0,True,8
7.556866,6.551237,17.39935,NotOnTheLine,104,0,True,8
7.657195,4.0401,14.84479,NotOnTheLine,104,0,True,8
7.806423,1.690457,12.15079,CloseEnough,104,0,True,8
7.959239,0.2593119,9.875214,CloseEnough,104,0,True,8
8.112374,0.08773774,7.059204,CloseEnough,104,0,True,8
8.264932,1.202206,3.548035,OnTheLine,144,0,True,8
8.418162,3.552271,2.759369,OnTheLine,144,0,True,8
8.570913,6.974873,1.744812,OnTheLine,144,0,True,8
8.671115,10.04908,1.378296,CloseEnough,144,0,True,8
8.779547,13.01441,2.077332,CloseEnough,144,0,True,8
8.890553,16.72789,4.81781,NotOnTheLine,144,0,True,8
8.990867,20.60905,6.887512,NotOnTheLine,144,0,True,8
9.094891,24.19714,9.720245,NotOnTheLine,144,0,True,8
9.206597,27.75782,11.99319,NotOnTheLine,144,0,True,8
9.349852,32.88948,15.55969,NotOnTheLine,144,0,True,8
9.459624,35.81504,18.12393,NotOnTheLine,144,0,True,8
9.612647,39.75062,23.17419,NotOnTheLine,144,0,True,8
9.765535,42.72036,29.49567,NotOnTheLine,144,0,True,8
9.91835,44.47413,36.88434,CloseEnough,144,0,True,8
10.06073,44.99351,41.93787,OnTheLine,144,0,True,8
10.19857,44.33445,45.19217,OnTheLine,144,0,True,8
10.33753,42.63556,45.88754,OnTheLine,184,0,True,8
10.48786,39.94101,49.31985,CloseEnough,184,0,True,8
10.64091,36.07206,48.59872,NotOnTheLine,184,0,True,8
10.79335,31.42108,43.85022,NotOnTheLine,184,0,True,8
10.94612,26.33729,36.52881,NotOnTheLine,184,0,True,8
11.09911,20.97319,28.28232,CloseEnough,184,0,True,8
11.1992,17.07988,24.28604,CloseEnough,184,0,True,8
11.30746,13.83878,21.8429,CloseEnough,208,0,True,8
11.44938,9.141757,17.70593,CloseEnough,208,0,True,8
11.55775,6.553401,15.16046,CloseEnough,208,0,True,8
11.6989,3.234944,11.4425,CloseEnough,208,0,True,8
11.84856,1.140853,8.420471,CloseEnough,208,0,True,8
11.98896,0.08101478,5.358765,CloseEnough,208,0,True,8
12.14055,0.2151749,3.267212,OnTheLine,208,0,True,8
12.29346,1.583895,1.371857,OnTheLine,208,0,True,8
12.40526,3.303932,1.011383,OnTheLine,248,0,True,8
12.54558,6.63402,3.544159,OnTheLine,248,0,True,8
12.65464,9.245623,5.513214,OnTheLine,248,0,True,8
12.80807,13.94239,8.024475,CloseEnough,248,0,True,8
12.90826,17.70027,10.77127,CloseEnough,248,0,True,8
13.016,21.08269,12.60382,CloseEnough,248,0,True,8
13.12772,25.02974,15.33438,CloseEnough,248,0,True,8
13.23938,28.90596,18.96875,CloseEnough,248,0,True,8
13.34945,32.53133,23.39771,CloseEnough,272,0,True,8
13.4606,35.88754,28.77762,CloseEnough,272,0,True,8
13.57154,38.82535,34.24786,CloseEnough,272,0,True,8
13.68267,41.2524,39.2652,OnTheLine,272,0,True,8
13.79357,43.11969,42.78656,OnTheLine,272,0,True,8
13.89516,44.27959,46.15298,OnTheLine,272,0,True,8
13.99717,44.90362,50.01572,OnTheLine,272,0,True,8
14.14214,44.74089,53.47232,CloseEnough,272,0,True,8
14.25041,43.95319,52.48093,CloseEnough,272,0,True,8
14.40403,41.72746,51.52496,CloseEnough,296,0,True,8
14.54501,38.3735,47.68716,CloseEnough,296,0,True,8
14.65427,35.7728,44.64767,CloseEnough,296,0,True,8
14.76556,32.3917,38.99875,CloseEnough,296,0,True,8
14.8764,28.73934,32.56976,CloseEnough,296,0,True,8
14.9879,24.89425,27.57016,OnTheLine,296,0,True,8
15.09859,20.99195,22.42361,OnTheLine,296,0,True,8
15.20967,17.10723,18.34,OnTheLine,296,0,True,8
15.34972,12.08098,14.72964,OnTheLine,336,0,True,8
15.45928,9.172649,12.50455,OnTheLine,336,0,True,8
15.61219,5.249501,8.563995,OnTheLine,336,0,True,8
15.72309,3.005981,5.960999,OnTheLine,336,0,True,8
15.87566,0.898886,4.402191,OnTheLine,336,0,True,8
15.97663,0.1306692,2.950317,OnTheLine,336,0,True,8
16.07826,0.03065899,1.907196,OnTheLine,336,0,True,8
16.19341,0.5106617,1.594818,OnTheLine,336,0,True,8
16.30734,1.548547,1.371948,OnTheLine,336,0,True,8
16.42064,3.585297,1.089996,OnTheLine,376,0,True,8
16.53134,5.986563,1.779419,OnTheLine,376,0,True,8
16.64374,8.919582,3.94101,CloseEnough,376,0,True,8
16.75374,12.28825,6.08844,CloseEnough,376,0,True,8
16.86465,15.84638,8.502594,CloseEnough,376,0,True,8
16.97607,19.69169,11.07791,CloseEnough,376,0,True,8
17.08793,23.63307,13.59821,CloseEnough,376,0,True,8
17.21306,27.99695,16.95932,NotOnTheLine,376,0,True,8
17.32394,31.70466,21.15442,NotOnTheLine,376,0,True,8
17.43508,35.13947,25.40762,CloseEnough,376,0,True,8
17.54669,38.18735,29.57947,CloseEnough,376,0,True,8
17.65772,40.74426,33.73615,CloseEnough,376,0,True,8
